%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1563269767504108540,3326,1563269767385785102,/gps,0,1,50.9390876667,-1.47197133333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269767600224534,3327,1563269767561089038,/gps,0,1,50.9390876667,-1.4719715,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269767804768547,3328,1563269767758172035,/gps,0,1,50.9390876667,-1.47197183333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269767939278559,3329,1563269767934912919,/gps,0,1,50.9390876667,-1.47197266667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269768187163135,3330,1563269768176867961,/gps,0,1,50.9390876667,-1.47197416667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269768359781650,3331,1563269768353703975,/gps,0,1,50.9390876667,-1.471976,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269768531332863,3332,1563269768526804924,/gps,0,1,50.9390876667,-1.47197833333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269768778273854,3333,1563269768768457889,/gps,0,1,50.9390876667,-1.47198166667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269768959382114,3334,1563269768946425914,/gps,0,1,50.9390876667,-1.47198616667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269769125248355,3335,1563269769122950077,/gps,0,1,50.9390875,-1.471992,15.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269769383351186,3336,1563269769376934051,/gps,0,1,50.9390871667,-1.47199883333,15.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269769555302701,3337,1563269769549175977,/gps,0,1,50.939087,-1.47200733333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269769793576021,3338,1563269769784802913,/gps,0,1,50.9390866667,-1.47201733333,15.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
